"","gene_id_bf","gene_id_af","family"
"74","AC212859.3_FG008","Zm00001d002934","NAC"
"75","AC213524.3_FG003","Zm00001d031597","TCP"
"76","AC213666.3_FG003","Zm00001d049309","ERF"
"77","AC213884.3_FG002","Zm00001d037994","MYB"
"78","AC214168.3_FG001","Zm00001d003755","E2F/DP"
"79","AC214648.3_FG005","Zm00001d010978","LBD"
"80","AC215290.3_FG002","Zm00001d003335","C2H2"
"81","AC216247.3_FG001","Zm00001d029270","HSF"
"82","AC216731.3_FG001","Zm00001d017804","bHLH"
"83","AC217264.3_FG005","Zm00001d033075","MYB"
"84","AC217910.3_FG006","Zm00001d032286","LBD"
"85","AC218973.3_FG003","Zm00001d041205","LBD"
"86","AC219020.4_FG002","Zm00001d037015","G2-like"
"87","AC232238.2_FG004","Zm00001d012294","bZIP"
"88","AC233751.1_FG002","Zm00001d049824","SBP"
"89","AC233850.1_FG005","Zm00001d016737","E2F/DP"
"90","AC233853.1_FG002","Zm00001d039383","bZIP"
"91","AC233865.1_FG003","Zm00001d021424","NAC"
"92","AC233880.1_FG006","Zm00001d039250","Nin-like"
"93","AC233888.1_FG002","Zm00001d025770","CO-like"
"94","AC233899.1_FG002","Zm00001d048229","bHLH"
"95","AC233899.1_FG004","Zm00001d048227","HD-ZIP"
"96","AC233912.1_FG001","Zm00001d019187","MIKC_MADS"
"97","AC233933.1_FG001","Zm00001d019475","ERF"
"98","AC233935.1_FG005","Zm00001d028625","Dof"
"99","AC233943.1_FG002","Zm00001d039694","LBD"
"100","AC233950.1_FG002","Zm00001d033673","TCP"
"101","AC233952.1_FG008","Zm00001d006768","C2H2"
"102","AC233960.1_FG003","Zm00001d017726","G2-like"
"103","AC233960.1_FG005","Zm00001d017724","bHLH"
"104","AC234149.1_FG002","Zm00001d010749","LBD"
"105","AC234155.1_FG002","Zm00001d010634","G2-like"
"106","AC234164.1_FG004","Zm00001d045507","GRAS"
"107","AC234185.1_FG006","Zm00001d009628","M-type_MADS"
"108","AC234203.1_FG011","Zm00001d031445","EIL"
"109","AC234520.1_FG003","Zm00001d030891","G2-like"
"110","AC234521.1_FG006","Zm00001d002818","TCP"
"111","AC234522.1_FG009","Zm00001d014345","C2H2"
"112","AC235534.1_FG007","Zm00001d026088","HD-ZIP"
"113","AF546187.1_FG012","Zm00001d030858","C2H2"
"114","EF517601.1_FG010","Zm00001d040254","GeBP"
"115","GRMZM2G000103","Zm00001d043884","C2H2"
"116","GRMZM2G000126","Zm00001d018605","C2H2"
"117","GRMZM2G000171","Zm00001d014795","bZIP"
"118","GRMZM2G000520","Zm00001d051451","ERF"
"119","GRMZM2G000686","Zm00001d027874","NF-YA"
"120","GRMZM2G000818","Zm00001d022628","MYB"
"121","GRMZM2G000836","Zm00001d038297","C2H2"
"122","GRMZM2G000842","Zm00001d038296","bZIP"
"123","GRMZM2G001048","Zm00001d049094","B3"
"124","GRMZM2G001106","Zm00001d025930","MYB_related"
"125","GRMZM2G001139","Zm00001d011748","MIKC_MADS"
"126","GRMZM2G001205","Zm00001d035609","C2H2"
"127","GRMZM2G001223","Zm00001d016952","MYB"
"128","GRMZM2G001289","Zm00001d002234","HD-ZIP"
"129","GRMZM2G001426","Zm00001d044065","GRAS"
"130","GRMZM2G001663","Zm00001d028472","FAR1"
"131","GRMZM2G001699","Zm00001d032741","E2F/DP"
"132","GRMZM2G001777","Zm00001d007667","HB-other"
"133","GRMZM2G001824","Zm00001d024726","MYB"
"134","GRMZM2G001875","Zm00001d039496","MYB"
"135","GRMZM2G001930","Zm00001d030028","bHLH"
"136","GRMZM2G002075","Zm00001d005884","bZIP"
"137","GRMZM2G002119","Zm00001d043204","ERF"
"138","GRMZM2G002128","Zm00001d038270","MYB"
"139","GRMZM2G002131","Zm00001d005888","HSF"
"140","GRMZM2G002225","Zm00001d013559","TALE"
"141","GRMZM2G002606","Zm00001d044463","LSD"
"142","GRMZM2G002627","Zm00001d017559","bHLH"
"143","GRMZM2G002805","Zm00001d012968","C2H2"
"144","GRMZM2G002915","Zm00001d005692","HD-ZIP"
"145","GRMZM2G002978","Zm00001d003836","Trihelix"
"146","GRMZM2G003234","Zm00001d004822","C2H2"
"147","GRMZM2G003304","Zm00001d032316","HD-ZIP"
"148","GRMZM2G003406","Zm00001d011669","MYB"
"149","GRMZM2G003466","Zm00001d028017","ERF"
"150","GRMZM2G003489","Zm00001d033987","HSF"
"151","GRMZM2G003509","Zm00001d031060","HD-ZIP"
"152","GRMZM2G003514","Zm00001d051465","MIKC_MADS"
"153","GRMZM2G003551","Zm00001d045283","WRKY"
"154","GRMZM2G003558","Zm00001d007188","EIL"
"155","GRMZM2G003715","Zm00001d024543","NAC"
"156","GRMZM2G003927","Zm00001d020430","C2H2"
"157","GRMZM2G003944","Zm00001d053020","TCP"
"158","GRMZM2G004060","Zm00001d023615","WRKY"
"159","GRMZM2G004090","Zm00001d046519","MYB"
"160","GRMZM2G004334","Zm00001d037140","HD-ZIP"
"161","GRMZM2G004356","Zm00001d013073","bHLH"
"162","GRMZM2G004531","Zm00001d020972","NAC"
"163","GRMZM2G004619","Zm00001d006348","GRF"
"164","GRMZM2G004641","Zm00001d027802","TALE"
"165","GRMZM2G004663","Zm00001d041160","Nin-like"
"166","GRMZM2G004732","Zm00001d024220","bHLH"
"167","GRMZM2G004957","Zm00001d024701","HD-ZIP"
"168","GRMZM2G005066","Zm00001d044975","MYB"
"169","GRMZM2G005112","Zm00001d042849","MYB_related"
"170","GRMZM2G005126","Zm00001d024703","C3H"
"171","GRMZM2G005155","Zm00001d002332","MIKC_MADS"
"172","GRMZM2G005207","Zm00001d023332","WRKY"
"173","GRMZM2G005284","Zm00001d025871","ARF"
"174","GRMZM2G005301","Zm00001d016260","ERF"
"175","GRMZM2G005353","Zm00001d025944","YABBY"
"176","GRMZM2G005624","Zm00001d028129","HD-ZIP"
"177","GRMZM2G005815","Zm00001d044259","HSF"
"178","GRMZM2G006042","Zm00001d023659","ARF"
"179","GRMZM2G006282","Zm00001d014917","C2H2"
"180","GRMZM2G006352","Zm00001d011614","MYB"
"181","GRMZM2G006477","Zm00001d029020","G2-like"
"182","GRMZM2G006493","Zm00001d023636","C3H"
"183","GRMZM2G006497","Zm00001d008578","WRKY"
"184","GRMZM2G006578","Zm00001d020938","bZIP"
"185","GRMZM2G006631","Zm00001d027987","bHLH"
"186","GRMZM2G006745","Zm00001d010048","ERF"
"187","GRMZM2G006752","Zm00001d020939","EIL"
"188","GRMZM2G006871","Zm00001d024905","GeBP"
"189","GRMZM2G007063","Zm00001d013074","bZIP"
"190","GRMZM2G007406","Zm00001d047860","ERF"
"191","GRMZM2G008029","Zm00001d034084","WRKY"
"192","GRMZM2G008166","Zm00001d037170","bZIP"
"193","GRMZM2G008234","Zm00001d018731","ERF"
"194","GRMZM2G008286","Zm00001d009802","HB-other"
"195","GRMZM2G008356","Zm00001d021790","B3"
"196","GRMZM2G008374","Zm00001d006053","NAC"
"197","GRMZM2G008558","Zm00001d037158","GeBP"
"198","GRMZM2G008647","Zm00001d015747","MYB_related"
"199","GRMZM2G008691","Zm00001d052192","bHLH"
"200","GRMZM2G008898","Zm00001d007768","bHLH"
"201","GRMZM2G009060","Zm00001d028984","G2-like"
"202","GRMZM2G009406","Zm00001d005970","Dof"
"203","GRMZM2G009478","Zm00001d005969","bHLH"
"204","GRMZM2G009598","Zm00001d034605","ERF"
"205","GRMZM2G009837","Zm00001d013232","bHLH"
"206","GRMZM2G009892","Zm00001d003414","NAC"
"207","GRMZM2G010100","Zm00001d033353","ERF"
"208","GRMZM2G010290","Zm00001d026096","Dof"
"209","GRMZM2G010323","Zm00001d025450","C3H"
"210","GRMZM2G010669","Zm00001d023955","MIKC_MADS"
"211","GRMZM2G010871","Zm00001d032923","HSF"
"212","GRMZM2G010920","Zm00001d015226","G2-like"
"213","GRMZM2G010929","Zm00001d008612","WOX"
"214","GRMZM2G011110","Zm00001d052152","ERF"
"215","GRMZM2G011236","Zm00001d006653","ERF"
"216","GRMZM2G011357","Zm00001d032922","C2H2"
"217","GRMZM2G011385","Zm00001d034384","LBD"
"218","GRMZM2G011422","Zm00001d050185","MYB"
"219","GRMZM2G011588","Zm00001d033378","TALE"
"220","GRMZM2G011598","Zm00001d028999","NAC"
"221","GRMZM2G011789","Zm00001d017898","NF-YB"
"222","GRMZM2G011832","Zm00001d033093","Dof"
"223","GRMZM2G011932","Zm00001d039065","bZIP"
"224","GRMZM2G011947","Zm00001d035873","GRAS"
"225","GRMZM2G012262","Zm00001d053855","Whirly"
"226","GRMZM2G012654","Zm00001d019865","NF-YB"
"227","GRMZM2G012717","Zm00001d037327","CO-like"
"228","GRMZM2G012724","Zm00001d038023","WRKY"
"229","GRMZM2G013016","Zm00001d042472","GRAS"
"230","GRMZM2G013391","Zm00001d012746","WRKY"
"231","GRMZM2G013398","Zm00001d045804","CO-like"
"232","GRMZM2G013581","Zm00001d035604","MYB"
"233","GRMZM2G013612","Zm00001d004102","ARR-B"
"234","GRMZM2G013617","Zm00001d035907","TALE"
"235","GRMZM2G013657","Zm00001d038087","AP2"
"236","GRMZM2G013688","Zm00001d021164","bHLH"
"237","GRMZM2G014534","Zm00001d002482","MYB_related"
"238","GRMZM2G014653","Zm00001d042609","NAC"
"239","GRMZM2G014902","Zm00001d049543","MYB_related"
"240","GRMZM2G015021","Zm00001d052069","MYB"
"241","GRMZM2G015037","Zm00001d008919","TCP"
"242","GRMZM2G015080","Zm00001d005029","GRAS"
"243","GRMZM2G015097","Zm00001d031008","CPP"
"244","GRMZM2G015281","Zm00001d028524","ERF"
"245","GRMZM2G015433","Zm00001d010805","WRKY"
"246","GRMZM2G015534","Zm00001d018971","bZIP"
"247","GRMZM2G015666","Zm00001d005939","bHLH"
"248","GRMZM2G016079","Zm00001d031498","ERF"
"249","GRMZM2G016150","Zm00001d034455","bZIP"
"250","GRMZM2G016370","Zm00001d023411","G2-like"
"251","GRMZM2G016434","Zm00001d016616","ERF"
"252","GRMZM2G016637","Zm00001d035457","Trihelix"
"253","GRMZM2G016649","Zm00001d002801","Trihelix"
"254","GRMZM2G016756","Zm00001d013130","bHLH"
"255","GRMZM2G017087","Zm00001d033859","TALE"
"256","GRMZM2G017145","Zm00001d022223","bHLH"
"257","GRMZM2G017187","Zm00001d003601","ARF"
"258","GRMZM2G017268","Zm00001d052804","MYB"
"259","GRMZM2G017319","Zm00001d033347","LBD"
"260","GRMZM2G017349","Zm00001d045212","bHLH"
"261","GRMZM2G017470","Zm00001d034651","Dof"
"262","GRMZM2G017520","Zm00001d040527","MYB"
"263","GRMZM2G017606","Zm00001d053208","SRS"
"264","GRMZM2G017923","Zm00001d018360","C3H"
"265","GRMZM2G018138","Zm00001d021214","ERF"
"266","GRMZM2G018254","Zm00001d048588","GRAS"
"267","GRMZM2G018398","Zm00001d052087","ERF"
"268","GRMZM2G018414","Zm00001d033396","GRF"
"269","GRMZM2G018436","Zm00001d005028","NAC"
"270","GRMZM2G018472","Zm00001d030971","bHLH"
"271","GRMZM2G018485","Zm00001d026005","B3"
"272","GRMZM2G018487","Zm00001d033965","WRKY"
"273","GRMZM2G018589","Zm00001d042591","MIKC_MADS"
"274","GRMZM2G018721","Zm00001d018656","WRKY"
"275","GRMZM2G018876","Zm00001d003195","DBB"
"276","GRMZM2G018984","Zm00001d027925","ERF"
"277","GRMZM2G019060","Zm00001d006721","GRAS"
"278","GRMZM2G019106","Zm00001d053967","bZIP"
"279","GRMZM2G019335","Zm00001d051018","DBB"
"280","GRMZM2G019443","Zm00001d019116","ERF"
"281","GRMZM2G019446","Zm00001d034447","bZIP"
"282","GRMZM2G019806","Zm00001d033848","bHLH"
"283","GRMZM2G019907","Zm00001d043153","bZIP"
"284","GRMZM2G019956","Zm00001d013723","B3"
"285","GRMZM2G020016","Zm00001d038584","ERF"
"286","GRMZM2G020054","Zm00001d024324","ERF"
"287","GRMZM2G020150","Zm00001d038585","ERF"
"288","GRMZM2G020254","Zm00001d024323","WRKY"
"289","GRMZM2G020772","Zm00001d039893","MYB"
"290","GRMZM2G020799","Zm00001d017911","bZIP"
"291","GRMZM2G020805","Zm00001d007868","TCP"
"292","GRMZM2G021095","Zm00001d028721","LBD"
"293","GRMZM2G021276","Zm00001d008174","bHLH"
"294","GRMZM2G021339","Zm00001d051749","HD-ZIP"
"295","GRMZM2G021369","Zm00001d018191","ERF"
"296","GRMZM2G021475","Zm00001d002106","HB-other"
"297","GRMZM2G021573","Zm00001d048004","AP2"
"298","GRMZM2G021587","Zm00001d006319","C2H2"
"299","GRMZM2G021777","Zm00001d017176","DBB"
"300","GRMZM2G021790","Zm00001d009573","ERF"
"301","GRMZM2G021831","Zm00001d003549","Trihelix"
"302","GRMZM2G021834","Zm00001d003616","C3H"
"303","GRMZM2G022162","Zm00001d005993","NF-YC"
"304","GRMZM2G022213","Zm00001d006682","C2H2"
"305","GRMZM2G022359","Zm00001d024468","AP2"
"306","GRMZM2G022499","Zm00001d031454","MYB_related"
"307","GRMZM2G022686","Zm00001d047671","MYB"
"308","GRMZM2G023119","Zm00001d030350","Trihelix"
"309","GRMZM2G023291","Zm00001d033246","HB-other"
"310","GRMZM2G023557","Zm00001d034891","MYB_related"
"311","GRMZM2G023667","Zm00001d011691","MYB_related"
"312","GRMZM2G023708","Zm00001d025298","ERF"
"313","GRMZM2G023813","Zm00001d026687","ARF"
"314","GRMZM2G023872","Zm00001d009646","GRAS"
"315","GRMZM2G023988","Zm00001d016911","C2H2"
"316","GRMZM2G024054","Zm00001d013827","MYB_related"
"317","GRMZM2G024468","Zm00001d032178","MYB"
"318","GRMZM2G024530","Zm00001d045046","bHLH"
"319","GRMZM2G024655","Zm00001d008356","C3H"
"320","GRMZM2G024851","Zm00001d041831","bZIP"
"321","GRMZM2G024871","Zm00001d014113","ERF"
"322","GRMZM2G024898","Zm00001d002452","WRKY"
"323","GRMZM2G024948","Zm00001d017618","B3"
"324","GRMZM2G024973","Zm00001d013465","GRAS"
"325","GRMZM2G025002","Zm00001d005005","GATA"
"326","GRMZM2G025062","Zm00001d022461","ERF"
"327","GRMZM2G025642","Zm00001d027459","NAC"
"328","GRMZM2G025685","Zm00001d022295","HSF"
"329","GRMZM2G025758","Zm00001d043311","LBD"
"330","GRMZM2G025812","Zm00001d046718","bZIP"
"331","GRMZM2G025895","Zm00001d020137","WRKY"
"332","GRMZM2G025989","Zm00001d052317","LBD"
"333","GRMZM2G026157","Zm00001d013501","NF-YA"
"334","GRMZM2G026223","Zm00001d027425","MIKC_MADS"
"335","GRMZM2G026417","Zm00001d029287","GeBP"
"336","GRMZM2G026643","Zm00001d040090","HD-ZIP"
"337","GRMZM2G026742","Zm00001d048041","HSF"
"338","GRMZM2G026833","Zm00001d044785","G2-like"
"339","GRMZM2G026926","Zm00001d002867","ERF"
"340","GRMZM2G027068","Zm00001d034596","bHLH"
"341","GRMZM2G027253","Zm00001d035903","B3"
"342","GRMZM2G027298","Zm00001d023927","C3H"
"343","GRMZM2G027333","Zm00001d011223","C2H2"
"344","GRMZM2G027563","Zm00001d020490","bHLH"
"345","GRMZM2G027697","Zm00001d017243","MYB"
"346","GRMZM2G027914","Zm00001d042756","MYB_related"
"347","GRMZM2G027960","Zm00001d010131","C2H2"
"348","GRMZM2G027972","Zm00001d052847","WRKY"
"349","GRMZM2G027976","Zm00001d043420","bZIP"
"350","GRMZM2G028039","Zm00001d048199","GRAS"
"351","GRMZM2G028041","Zm00001d018742","TALE"
"352","GRMZM2G028046","Zm00001d053006","C2H2"
"353","GRMZM2G028054","Zm00001d012544","MYB"
"354","GRMZM2G028151","Zm00001d034204","AP2"
"355","GRMZM2G028386","Zm00001d031861","ERF"
"356","GRMZM2G028438","Zm00001d051461","GRAS"
"357","GRMZM2G028492","Zm00001d026536","C3H"
"358","GRMZM2G028594","Zm00001d045323","DBB"
"359","GRMZM2G028608","Zm00001d003553","GRAS"
"360","GRMZM2G028622","Zm00001d026537","WOX"
"361","GRMZM2G028766","Zm00001d050551","C2H2"
"362","GRMZM2G028794","Zm00001d048244","B3"
"363","GRMZM2G028969","Zm00001d002747","ERF"
"364","GRMZM2G028980","Zm00001d053819","ARF"
"365","GRMZM2G029282","Zm00001d012507","WRKY"
"366","GRMZM2G029292","Zm00001d012508","WRKY"
"367","GRMZM2G029323","Zm00001d052229","ERF"
"368","GRMZM2G029850","Zm00001d017642","MYB_related"
"369","GRMZM2G029979","Zm00001d015845","bZIP"
"370","GRMZM2G030272","Zm00001d028962","WRKY"
"371","GRMZM2G030280","Zm00001d008225","bZIP"
"372","GRMZM2G030325","Zm00001d035076","NAC"
"373","GRMZM2G030403","Zm00001d024814","MYB_related"
"374","GRMZM2G030458","Zm00001d047421","GeBP"
"375","GRMZM2G030710","Zm00001d039006","ARF"
"376","GRMZM2G030744","Zm00001d018416","bHLH"
"377","GRMZM2G030762","Zm00001d012067","bHLH"
"378","GRMZM2G030877","Zm00001d052542","bZIP"
"379","GRMZM2G031001","Zm00001d028995","NAC"
"380","GRMZM2G031200","Zm00001d039004","NAC"
"381","GRMZM2G031323","Zm00001d021761","MYB"
"382","GRMZM2G031398","Zm00001d003176","Nin-like"
"383","GRMZM2G031493","Zm00001d042271","Trihelix"
"384","GRMZM2G031870","Zm00001d034181","G2-like"
"385","GRMZM2G031882","Zm00001d043937","WOX"
"386","GRMZM2G031963","Zm00001d025669","WRKY"
"387","GRMZM2G031983","Zm00001d016361","GATA"
"388","GRMZM2G032180","Zm00001d005055","MYB_related"
"389","GRMZM2G032258","Zm00001d042965","C3H"
"390","GRMZM2G032336","Zm00001d021516","CAMTA"
"391","GRMZM2G032339","Zm00001d034045","MIKC_MADS"
"392","GRMZM2G032655","Zm00001d003412","MYB"
"393","GRMZM2G032905","Zm00001d003408","M-type_MADS"
"394","GRMZM2G033014","Zm00001d018702","NAC"
"395","GRMZM2G033138","Zm00001d015265","HB-other"
"396","GRMZM2G033230","Zm00001d010667","bZIP"
"397","GRMZM2G033356","Zm00001d049294","bHLH"
"398","GRMZM2G033413","Zm00001d044940","bZIP"
"399","GRMZM2G033570","Zm00001d028974","EIL"
"400","GRMZM2G033656","Zm00001d031501","ERF"
"401","GRMZM2G034110","Zm00001d000184","MYB_related"
"402","GRMZM2G034113","Zm00001d006195","HD-ZIP"
"403","GRMZM2G034421","Zm00001d010616","WRKY"
"404","GRMZM2G034563","Zm00001d030911","G2-like"
"405","GRMZM2G034638","Zm00001d011985","TCP"
"406","GRMZM2G034840","Zm00001d001945","ARF"
"407","GRMZM2G034868","Zm00001d041923","FAR1"
"408","GRMZM2G034876","Zm00001d017742","GRF"
"409","GRMZM2G035092","Zm00001d042550","M-type_MADS"
"410","GRMZM2G035103","Zm00001d013208","C2H2"
"411","GRMZM2G035156","Zm00001d027855","bHLH"
"412","GRMZM2G035370","Zm00001d001936","G2-like"
"413","GRMZM2G035405","Zm00001d014377","ARF"
"414","GRMZM2G035625","Zm00001d042202","C2H2"
"415","GRMZM2G035701","Zm00001d011712","B3"
"416","GRMZM2G035944","Zm00001d010730","TCP"
"417","GRMZM2G036092","Zm00001d018056","bHLH"
"418","GRMZM2G036297","Zm00001d002005","SBP"
"419","GRMZM2G036554","Zm00001d024781","bHLH"
"420","GRMZM2G036703","Zm00001d012482","WRKY"
"421","GRMZM2G036837","Zm00001d008322","C3H"
"422","GRMZM2G036966","Zm00001d035234","GeBP"
"423","GRMZM2G037128","Zm00001d054080","Trihelix"
"424","GRMZM2G037200","Zm00001d017595","C3H"
"425","GRMZM2G037286","Zm00001d038518","GRAS"
"426","GRMZM2G037493","Zm00001d031391","Trihelix"
"427","GRMZM2G037574","Zm00001d005788","C2H2"
"428","GRMZM2G037630","Zm00001d029488","NF-YA"
"429","GRMZM2G037650","Zm00001d032032","MYB"
"430","GRMZM2G037792","Zm00001d026158","GRAS"
"431","GRMZM2G037823","Zm00001d016755","Trihelix"
"432","GRMZM2G037910","Zm00001d006157","bZIP"
"433","GRMZM2G038015","Zm00001d028879","bZIP"
"434","GRMZM2G038073","Zm00001d017084","NAC"
"435","GRMZM2G038158","Zm00001d053369","WRKY"
"436","GRMZM2G038303","Zm00001d022108","NF-YA"
"437","GRMZM2G038479","Zm00001d052728","bHLH"
"438","GRMZM2G038722","Zm00001d002476","MYB"
"439","GRMZM2G038783","Zm00001d046925","CO-like"
"440","GRMZM2G038878","Zm00001d037126","M-type_MADS"
"441","GRMZM2G039074","Zm00001d033310","G2-like"
"442","GRMZM2G039112","Zm00001d030862","ERF"
"443","GRMZM2G039586","Zm00001d046354","GATA"
"444","GRMZM2G039828","Zm00001d039658","bZIP"
"445","GRMZM2G039870","Zm00001d030513","ERF"
"446","GRMZM2G039889","Zm00001d011355","C3H"
"447","GRMZM2G040298","Zm00001d043569","WRKY"
"448","GRMZM2G040349","Zm00001d006835","NF-YA"
"449","GRMZM2G040481","Zm00001d016924","EIL"
"450","GRMZM2G040664","Zm00001d025910","ERF"
"451","GRMZM2G040924","Zm00001d017385","MYB"
"452","GRMZM2G041127","Zm00001d005951","HD-ZIP"
"453","GRMZM2G041223","Zm00001d002429","GRF"
"454","GRMZM2G041415","Zm00001d041853","MYB"
"455","GRMZM2G041462","Zm00001d021268","HD-ZIP"
"456","GRMZM2G041668","Zm00001d045600","NAC"
"457","GRMZM2G041701","Zm00001d050664","E2F/DP"
"458","GRMZM2G041746","Zm00001d037029","NAC"
"459","GRMZM2G041799","Zm00001d051838","C3H"
"460","GRMZM2G041818","Zm00001d033706","GeBP"
"461","GRMZM2G041839","Zm00001d017478","ERF"
"462","GRMZM2G041991","Zm00001d017939","CO-like"
"463","GRMZM2G042101","Zm00001d052254","bHLH"
"464","GRMZM2G042198","Zm00001d051684","CO-like"
"465","GRMZM2G042218","Zm00001d012280","Dof"
"466","GRMZM2G042250","Zm00001d027317","HD-ZIP"
"467","GRMZM2G042278","Zm00001d015201","Nin-like"
"468","GRMZM2G042407","Zm00001d032040","SRS"
"469","GRMZM2G042666","Zm00001d021403","C2H2"
"470","GRMZM2G042756","Zm00001d002618","ERF"
"471","GRMZM2G042893","Zm00001d004095","bHLH"
"472","GRMZM2G042895","Zm00001d024522","bHLH"
"473","GRMZM2G042920","Zm00001d026317","bHLH"
"474","GRMZM2G043250","Zm00001d016771","FAR1"
"475","GRMZM2G043600","Zm00001d021191","bZIP"
"476","GRMZM2G043792","Zm00001d051117","MYB"
"477","GRMZM2G043813","Zm00001d025861","NAC"
"478","GRMZM2G043854","Zm00001d047878","bHLH"
"479","GRMZM2G044077","Zm00001d008968","ERF"
"480","GRMZM2G044150","Zm00001d038013","LBD"
"481","GRMZM2G044322","Zm00001d003451","EIL"
"482","GRMZM2G044408","Zm00001d017932","M-type_MADS"
"483","GRMZM2G044576","Zm00001d012757","GATA"
"484","GRMZM2G044752","Zm00001d002754","HD-ZIP"
"485","GRMZM2G044824","Zm00001d045560","MYB"
"486","GRMZM2G044902","Zm00001d029601","LBD"
"487","GRMZM2G045109","Zm00001d046096","bHLH"
"488","GRMZM2G045236","Zm00001d038189","bZIP"
"489","GRMZM2G045431","Zm00001d020705","bHLH"
"490","GRMZM2G045678","Zm00001d033325","Dof"
"491","GRMZM2G045748","Zm00001d020457","MYB"
"492","GRMZM2G045883","Zm00001d018119","bHLH"
"493","GRMZM2G045977","Zm00001d017602","GRF"
"494","GRMZM2G046438","Zm00001d014117","MYB_related"
"495","GRMZM2G046443","Zm00001d031515","MYB"
"496","GRMZM2G046829","Zm00001d021863","YABBY"
"497","GRMZM2G046885","Zm00001d018142","MIKC_MADS"
"498","GRMZM2G046968","Zm00001d001952","C3H"
